bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
40073a64:	time lag;	2.10154	2.10711
40067fcc:	dummy;	2.10807	8	-8	84
40073bb0:	time lag;	2.10155	2.10807
4006929b:	dummy;	2.109021	7	-8	84
40073ce6:	time lag;	2.10270	2.10902
4006a62b:	dummy;	2.109961	6	-8	84
40073e10:	time lag;	2.10389	2.10996
4006b9bb:	dummy;	2.11091	5	-8	84
40073f60:	time lag;	2.10509	2.11091
4006cd60:	dummy;	2.111852	4	-8	84
400740b7:	time lag;	2.10629	2.11185
4006e144:	dummy;	2.112807	4	-8	84
40074218:	time lag;	2.10750	2.11281
4006f167:	dummy;	2.113763	4	-8	84
4007438d:	time lag;	2.10848	2.11376
4006f199:	dummy;	2.114718	4	-8	84
400744af:	time lag;	2.10850	2.11472
40071284:	dummy;	2.115669	4	-8	84
4007caac:	time lag;	2.11051	2.11567
400717ad:	dummy;	2.116613	4	-8	84
4007cbbc:	time lag;	2.11082	2.11661
40072707:	dummy;	2.117568	4	-8	84
4007ccab:	time lag;	2.11176	2.11757
40073a82:	dummy;	2.118523	4	-8	84
4007cd8e:	time lag;	2.11295	2.11852
40074df0:	dummy;	2.119478	4	-8	84
4007ce68:	time lag;	2.11413	2.11948
400760d4:	dummy;	2.120434	4	-8	84
4007cf42:	time lag;	2.11528	2.12043
400773c1:	dummy;	2.121391	4	-8	84
4007d00f:	time lag;	2.11644	2.12139
40078540:	dummy;	2.122346	4	-8	84
4007d107:	time lag;	2.11751	2.12235
4007857b:	dummy;	2.123302	4	-8	84
4007d1e5:	time lag;	2.11752	2.12330
40079f06:	dummy;	2.124259	5	-9	85
4008636b:	time lag;	2.11908	2.12426
4007a81a:	dummy;	2.125214	6	-10	86
40086477:	time lag;	2.11964	2.12521
4007cec0:	dummy;	2.126171	7	-11	87
40086549:	time lag;	2.12199	2.12617
4007cef6:	dummy;	2.127127	8	-12	88
4008660e:	time lag;	2.12201	2.12713
4007e154:	dummy;	2.128083	8	-12	88
400866c7:	time lag;	2.12313	2.12808
4007e187:	dummy;	2.129041	8	-12	88
40086784:	time lag;	2.12314	2.12904
4007f57f:	dummy;	2.129994	8	-12	88
40086838:	time lag;	2.12436	2.12999
40080bed:	dummy;	2.130933	8	-12	88
400868f1:	time lag;	2.12573	2.13093
40080ca6:	dummy;	2.131877	8	-12	88
400869a5:	time lag;	2.12577	2.13188
40081d97:	dummy;	2.132835	8	-12	88
40086a62:	time lag;	2.12681	2.13284
4008377a:	dummy;	2.133791	8	-12	88
4008f19d:	time lag;	2.12839	2.13379
40084185:	dummy;	2.134747	8	-12	88
4008f299:	time lag;	2.12900	2.13475
400854f8:	dummy;	2.135703	8	-12	88
4008f377:	time lag;	2.13019	2.13570
4008687f:	dummy;	2.136655	8	-12	88
4008f451:	time lag;	2.13138	2.13666
40087aa7:	dummy;	2.137599	8	-12	88
4008f523:	time lag;	2.13249	2.13760
40087add:	dummy;	2.138555	8	-12	88
4008f5e8:	time lag;	2.13250	2.13856
40088ae7:	dummy;	2.13951	8	-12	88
4008f6ad:	time lag;	2.13348	2.13951
40089ba2:	dummy;	2.140465	7	-11	87
4008f773:	time lag;	2.13450	2.14046
4008aeb8:	dummy;	2.141423	6	-10	86
4008f82f:	time lag;	2.13566	2.14142
4008c54c:	dummy;	2.142379	5	-9	85
40098a48:	time lag;	2.13704	2.14238
4008d41b:	dummy;	2.143335	4	-8	84
40098b37:	time lag;	2.13795	2.14333
4008e79b:	dummy;	2.14429	4	-8	84
40098c22:	time lag;	2.13914	2.14429
4008fa51:	dummy;	2.145247	4	-8	84
40098ceb:	time lag;	2.14028	2.14525
40090daa:	dummy;	2.146202	4	-8	84
40098da4:	time lag;	2.14146	2.14620
40090ddc:	dummy;	2.147158	4	-8	84
40098e58:	time lag;	2.14147	2.14716
40091f43:	dummy;	2.148114	4	-8	84
40098f0c:	time lag;	2.14253	2.14811
40091f75:	dummy;	2.149072	4	-8	84
40098fbd:	time lag;	2.14254	2.14907
4009302b:	dummy;	2.150028	4	-8	84
4009906d:	time lag;	2.14356	2.15003
40094307:	dummy;	2.150981	4	-8	84
4009911d:	time lag;	2.14472	2.15098
40095e29:	dummy;	2.151929	4	-8	84
400a1c43:	time lag;	2.14637	2.15193
4009684d:	dummy;	2.152873	4	-8	84
400a1d2a:	time lag;	2.14699	2.15287
40097b42:	dummy;	2.153829	4	-8	84
400a1df3:	time lag;	2.14815	2.15383
40098deb:	dummy;	2.154785	4	-8	84
400a1eb4:	time lag;	2.14929	2.15478
4009a1f9:	dummy;	2.15574	5	-8	83
400a1f6d:	time lag;	2.15051	2.15574
4009a22b:	dummy;	2.156694	6	-8	82
400a2021:	time lag;	2.15052	2.15669
4009b4fa:	dummy;	2.157647	7	-8	81
400a20d1:	time lag;	2.15167	2.15765
4009c7f3:	dummy;	2.15859	8	-8	80
400a2186:	time lag;	2.15283	2.15859
4009db83:	dummy;	2.159544	8	-8	80
400a2236:	time lag;	2.15402	2.15954
4009ef1c:	dummy;	2.160498	8	-8	80
400aab43:	time lag;	2.15522	2.16050
400a00c1:	dummy;	2.161454	8	-8	80
400aac19:	time lag;	2.15630	2.16145
400a1195:	dummy;	2.16241	8	-8	80
400aacd2:	time lag;	2.15732	2.16241
400a24a7:	dummy;	2.163365	8	-8	80
400aad82:	time lag;	2.15849	2.16337
400a24d5:	dummy;	2.164321	8	-8	80
400aae25:	time lag;	2.15850	2.16432
400a3793:	dummy;	2.165276	8	-8	80
400aaecd:	time lag;	2.15964	2.16528
400a4a02:	dummy;	2.166233	8	-8	80
400aaf8e:	time lag;	2.16077	2.16623
400a5dc4:	dummy;	2.167188	8	-8	80
400ab03a:	time lag;	2.16197	2.16719
400a7054:	dummy;	2.168144	8	-8	80
400ab0de:	time lag;	2.16311	2.16814
400a833c:	dummy;	2.1691	8	-8	80
400b37df:	time lag;	2.16426	2.16910
400a836b:	dummy;	2.170054	8	-8	80
400b38c1:	time lag;	2.16427	2.17005
400a9792:	dummy;	2.171006	8	-8	80
400b398f:	time lag;	2.16550	2.17101
400a97d9:	dummy;	2.171955	9	-9	81
400b3a50:	time lag;	2.16552	2.17196
400aa7eb:	dummy;	2.172907	10	-10	82
400b3b00:	time lag;	2.16650	2.17291
400abb80:	dummy;	2.173851	11	-11	83
400b3bac:	time lag;	2.16769	2.17385
400acf1c:	dummy;	2.174808	12	-12	84
400b3cd5:	time lag;	2.16889	2.17481
400ae23f:	dummy;	2.175765	12	-12	84
400b3e32:	time lag;	2.17006	2.17577
400af54d:	dummy;	2.176721	12	-12	84
400b3f42:	time lag;	2.17122	2.17672
400b0c5b:	dummy;	2.177679	12	-12	84
400bc11a:	time lag;	2.17263	2.17768
400b1b4c:	dummy;	2.178619	12	-12	84
400bc21e:	time lag;	2.17354	2.17862
400b1b7e:	dummy;	2.179577	12	-12	84
400bc32f:	time lag;	2.17355	2.17958
400b2c38:	dummy;	2.180533	12	-12	84
400bc3fc:	time lag;	2.17457	2.18053
400b5248:	dummy;	2.18149	12	-12	84
400bc49c:	time lag;	2.17690	2.18149
400b7907:	dummy;	2.18413	12	-12	84
400bc56d:	time lag;	2.17926	2.18413
400b92ab:	dummy;	2.185077	12	-12	84
400c584b:	time lag;	2.18083	2.18508
400b9318:	dummy;	2.186036	12	-12	84
400c5964:	time lag;	2.18085	2.18604
400b932d:	dummy;	2.186993	12	-11	84
400c5a2d:	time lag;	2.18086	2.18699
400b9eba:	dummy;	2.187933	12	-10	84
400c5ae6:	time lag;	2.18156	2.18793
400bb21c:	dummy;	2.188876	12	-9	84
400c5b9a:	time lag;	2.18275	2.18888
400bc505:	dummy;	2.189834	12	-8	84
400c5c74:	time lag;	2.18390	2.18983
400bdaba:	dummy;	2.19079	12	-8	84
400c5d2d:	time lag;	2.18523	2.19079
400bec81:	dummy;	2.191745	12	-8	84
400c5de1:	time lag;	2.18631	2.19175
400bff76:	dummy;	2.192701	12	-8	84
400c5e92:	time lag;	2.18747	2.19270
400bffa4:	dummy;	2.193655	12	-8	84
400c5f42:	time lag;	2.18748	2.19366
400c10fe:	dummy;	2.194599	12	-8	84
400c5ff6:	time lag;	2.18854	2.19460
400c2cfe:	dummy;	2.195555	12	-8	84
400ceee5:	time lag;	2.19025	2.19556
400c3387:	dummy;	2.196511	12	-8	84
400cefd8:	time lag;	2.19064	2.19651
400c480a:	dummy;	2.197467	12	-8	84
400cf0a2:	time lag;	2.19190	2.19747
400c5dab:	dummy;	2.198424	12	-8	84
400cf163:	time lag;	2.19322	2.19842
400c712e:	dummy;	2.199381	12	-8	84
400cf217:	time lag;	2.19441	2.19938
400c81cb:	dummy;	2.200337	12	-8	84
400cf2cb:	time lag;	2.19542	2.20034
400c93fb:	dummy;	2.201295	12	-8	84
400cf384:	time lag;	2.19653	2.20130
400c9429:	dummy;	2.202252	12	-8	84
400cf434:	time lag;	2.19654	2.20225
400ca711:	dummy;	2.203209	10	-7	84
400cf588:	time lag;	2.19770	2.20321
400cc29c:	dummy;	2.204165	8	-6	84
400d7c78:	time lag;	2.19938	2.20417
400ccb9f:	dummy;	2.205121	6	-5	84
400d7d6b:	time lag;	2.19993	2.20512
400ccbcd:	dummy;	2.206077	4	-4	84
400d7e45:	time lag;	2.19994	2.20608
400cde16:	dummy;	2.207034	4	-4	84
400d7f17:	time lag;	2.20106	2.20703
400cf167:	dummy;	2.20799	4	-4	84
400d7fe9:	time lag;	2.20223	2.20799
400d047d:	dummy;	2.208927	4	-4	84
400d80b6:	time lag;	2.20340	2.20893
400d1733:	dummy;	2.209872	4	-4	84
400d8195:	time lag;	2.20454	2.20987
400d1761:	dummy;	2.210829	4	-4	84
400d8266:	time lag;	2.20455	2.21083
400d2a5a:	dummy;	2.211784	4	-4	84
400d8356:	time lag;	2.20571	2.21178
400d3e08:	dummy;	2.21274	4	-4	84
400d8434:	time lag;	2.20691	2.21274
400d5109:	dummy;	2.213695	4	-4	84
400e0f1b:	time lag;	2.20807	2.21369
400d641b:	dummy;	2.214652	4	-4	84
400e0ffe:	time lag;	2.20923	2.21465
400d76c0:	dummy;	2.215596	4	-4	84
400e10bf:	time lag;	2.21037	2.21560
400d89d3:	dummy;	2.21655	4	-4	84
400e1177:	time lag;	2.21154	2.21655
400d8a01:	dummy;	2.217504	4	-4	84
400e122b:	time lag;	2.21155	2.21750
400d9c8d:	dummy;	2.218459	5	-5	85
400e12ec:	time lag;	2.21268	2.21846
400daf68:	dummy;	2.219416	6	-6	86
400e13a1:	time lag;	2.21383	2.21942
400dc20d:	dummy;	2.220371	7	-7	87
400e1451:	time lag;	2.21497	2.22037
400dd59d:	dummy;	2.221327	8	-8	88
400e1501:	time lag;	2.21616	2.22133
400de932:	dummy;	2.222283	8	-8	88
400ea5e8:	time lag;	2.21736	2.22228
400dfbca:	dummy;	2.22324	8	-8	88
400ea6d2:	time lag;	2.21849	2.22324
400dfbf8:	dummy;	2.224195	8	-8	88
400ea7a0:	time lag;	2.21850	2.22419
400e0d30:	dummy;	2.22515	8	-8	88
400ea85d:	time lag;	2.21955	2.22515
400e20da:	dummy;	2.226105	8	-8	88
400ea919:	time lag;	2.22076	2.22611
400e2110:	dummy;	2.227062	8	-8	88
400ea9d2:	time lag;	2.22077	2.22706
400e3659:	dummy;	2.228014	8	-8	88
400eaa8b:	time lag;	2.22207	2.22801
400e4ac3:	dummy;	2.228953	8	-8	88
400eab3f:	time lag;	2.22331	2.22895
400e5e68:	dummy;	2.229904	8	-8	88
400eac19:	time lag;	2.22451	2.22990
400e5ec8:	dummy;	2.230848	8	-8	88
400eacc9:	time lag;	2.22453	2.23085
400e79e1:	dummy;	2.231803	8	-8	88
400f3ef7:	time lag;	2.22619	2.23180
400e81b6:	dummy;	2.232758	8	-8	88
400f3fe2:	time lag;	2.22667	2.23276
400e957d:	dummy;	2.233713	8	-8	88
400f40d1:	time lag;	2.22787	2.23371
400eaa0d:	dummy;	2.234665	7	-7	87
400f419a:	time lag;	2.22913	2.23467
400ebd1b:	dummy;	2.235609	6	-6	86
400f424e:	time lag;	2.23029	2.23561
400ed45f:	dummy;	2.236564	5	-5	85
400f4303:	time lag;	2.23171	2.23656
400ed4f6:	dummy;	2.237519	4	-4	84
400f43b3:	time lag;	2.23175	2.23752
400ee3ce:	dummy;	2.238474	4	-4	84
400f4463:	time lag;	2.23265	2.23847
400f1180:	dummy;	2.23943	4	-4	84
400fcb08:	time lag;	2.23544	2.23943
400f11f9:	dummy;	2.240387	4	-4	84
400fcbf7:	time lag;	2.23547	2.24039
400f1c71:	dummy;	2.241342	4	-4	84
400fccc0:	time lag;	2.23611	2.24134
400f3094:	dummy;	2.242299	4	-4	84
400fcd81:	time lag;	2.23734	2.24230
400f44bf:	dummy;	2.243255	4	-4	84
400fce3e:	time lag;	2.23857	2.24325
400f4524:	dummy;	2.244211	4	-4	84
400fcef6:	time lag;	2.23860	2.24421
400f5700:	dummy;	2.245167	4	-4	84
400fcfaf:	time lag;	2.23969	2.24517
400f6aca:	dummy;	2.246123	4	-4	84
400fd05f:	time lag;	2.24089	2.24612
400f7cf6:	dummy;	2.24708	4	-4	84
400fd114:	time lag;	2.24200	2.24708
400f7d28:	dummy;	2.248036	4	-4	84
400fd1c8:	time lag;	2.24201	2.24804
400f90ac:	dummy;	2.248987	4	-4	84
400fd278:	time lag;	2.24321	2.24899
400fa3f0:	dummy;	2.249926	4	-6	84
4010608d:	time lag;	2.24438	2.24993
400fb7d8:	dummy;	2.250869	5	-8	84
401061d8:	time lag;	2.24560	2.25087
400fb839:	dummy;	2.251826	6	-10	84
401062d4:	time lag;	2.24562	2.25183
400fc8ef:	dummy;	2.252782	7	-12	84
401063bf:	time lag;	2.24664	2.25278
400fdd2b:	dummy;	2.253738	8	-12	84
401064a6:	time lag;	2.24787	2.25374
400ff135:	dummy;	2.254694	8	-12	84
40106584:	time lag;	2.24910	2.25469
401004d5:	dummy;	2.255647	8	-12	84
40106695:	time lag;	2.25029	2.25565
4010196e:	dummy;	2.256591	8	-12	84
4010677b:	time lag;	2.25155	2.25659
401019df:	dummy;	2.257547	8	-12	84
4010685a:	time lag;	2.25158	2.25755
4010358f:	dummy;	2.258503	8	-12	84
4010ee4e:	time lag;	2.25327	2.25850
40103c10:	dummy;	2.259458	8	-12	84
4010ef74:	time lag;	2.25367	2.25946
4010518f:	dummy;	2.260416	8	-12	84
4010f06f:	time lag;	2.25498	2.26042
401065c3:	dummy;	2.261372	8	-12	84
4010f15e:	time lag;	2.25621	2.26137
40107ab3:	dummy;	2.262328	8	-12	84
4010f245:	time lag;	2.25749	2.26233
40108c87:	dummy;	2.263285	8	-12	84
4010f32c:	time lag;	2.25858	2.26329
40108cef:	dummy;	2.264243	8	-12	84
4010f40a:	time lag;	2.25860	2.26424
40109d39:	dummy;	2.265199	8	-12	84
4010f4ed:	time lag;	2.25960	2.26520
4010ae5c:	dummy;	2.266156	8	-7	84
4010f5c7:	time lag;	2.26064	2.26616
4010c2fc:	dummy;	2.267112	8	-2	84
40117c03:	time lag;	2.26190	2.26711
4010c38b:	dummy;	2.268068	8	3	84
40117d20:	time lag;	2.26193	2.26807
4010d4aa:	dummy;	2.269023	8	8	84
40117e13:	time lag;	2.26298	2.26902
4010e85c:	dummy;	2.269974	8	8	84
40117efa:	time lag;	2.26418	2.26997
4010fc93:	dummy;	2.270924	8	8	84
40117fd8:	time lag;	2.26542	2.27092
40110fc3:	dummy;	2.271866	8	8	84
401180b2:	time lag;	2.26659	2.27187
40111038:	dummy;	2.27282	8	8	84
40118188:	time lag;	2.26661	2.27282
401120a3:	dummy;	2.273773	8	8	84
4011825e:	time lag;	2.26762	2.27377
4011327b:	dummy;	2.274728	8	8	84
40118334:	time lag;	2.26871	2.27473
40115065:	dummy;	2.275683	8	8	84
40120681:	time lag;	2.27053	2.27568
40115860:	dummy;	2.276634	8	8	84
401207a3:	time lag;	2.27102	2.27663
40116dc2:	dummy;	2.277576	8	8	84
401208c8:	time lag;	2.27232	2.27758
40118252:	dummy;	2.27853	8	8	84
401209bb:	time lag;	2.27358	2.27853
401182bf:	dummy;	2.279483	8	8	84
40120a9a:	time lag;	2.27361	2.27948
40119381:	dummy;	2.280437	8	8	84
40120b78:	time lag;	2.27463	2.28044
4011a6f0:	dummy;	2.281393	8	8	84
40120c52:	time lag;	2.27581	2.28139
4011badc:	dummy;	2.282347	8	5	84
40120d2c:	time lag;	2.27703	2.28235
4011ce85:	dummy;	2.283302	8	2	84
40120e06:	time lag;	2.27823	2.28330
4011e182:	dummy;	2.284258	8	-1	84
40129df9:	time lag;	2.27939	2.28426
4011f4d4:	dummy;	2.285214	8	-4	84
40129f1b:	time lag;	2.28057	2.28521
4011f545:	dummy;	2.28617	8	-4	84
4012a017:	time lag;	2.28060	2.28617
40120818:	dummy;	2.287125	8	-4	84
4012a106:	time lag;	2.28174	2.28713
40121c2a:	dummy;	2.288081	8	-4	84
4012a1ec:	time lag;	2.28297	2.28808
40121c97:	dummy;	2.289038	8	-4	84
4012a2cf:	time lag;	2.28299	2.28904
40122fdc:	dummy;	2.28999	8	-4	84
4012a3a9:	time lag;	2.28417	2.28999
401243bb:	dummy;	2.290929	8	-4	84
4012a483:	time lag;	2.28538	2.29093
40125810:	dummy;	2.29187	8	-4	84
4012a55d:	time lag;	2.28662	2.29187
40125886:	dummy;	2.292825	8	-4	84
4012a63b:	time lag;	2.28665	2.29283
40127375:	dummy;	2.293781	8	-4	84
4013281c:	time lag;	2.28830	2.29378
40127b3e:	dummy;	2.294736	8	-4	84
4013293d:	time lag;	2.28877	2.29474
40129011:	dummy;	2.295691	8	-4	84
40132a35:	time lag;	2.29004	2.29569
4012a438:	dummy;	2.296644	8	-4	84
40132b67:	time lag;	2.29127	2.29664
4012b863:	dummy;	2.297587	9	-5	85
40132c4d:	time lag;	2.29250	2.29759
4012b8d4:	dummy;	2.298542	10	-6	86
40132d2c:	time lag;	2.29253	2.29854
4012cb47:	dummy;	2.299498	11	-7	87
40132e34:	time lag;	2.29366	2.29950
4012df22:	dummy;	2.300453	12	-8	88
40132f1f:	time lag;	2.29487	2.30045
4012fc54:	dummy;	2.301411	12	-8	88
4013b314:	time lag;	2.29665	2.30141
4013069a:	dummy;	2.302367	12	-8	88
4013b42d:	time lag;	2.29728	2.30237
40131a26:	dummy;	2.303324	12	-8	88
4013b546:	time lag;	2.29847	2.30332
40131a97:	dummy;	2.304281	12	-8	88
4013b62c:	time lag;	2.29850	2.30428
40132d5e:	dummy;	2.305239	12	-8	88
4013b70b:	time lag;	2.29964	2.30524
401340fb:	dummy;	2.306195	12	-8	88
4013b7e9:	time lag;	2.30084	2.30620
4013557e:	dummy;	2.307151	12	-8	88
4013b8c7:	time lag;	2.30209	2.30715
401369fd:	dummy;	2.308108	12	-8	88
4013b99d:	time lag;	2.30334	2.30811
40136a7b:	dummy;	2.309065	12	-8	88
4013ba77:	time lag;	2.30337	2.30906
401387a9:	dummy;	2.310023	12	-8	88
40144734:	time lag;	2.30516	2.31002
40138833:	dummy;	2.310975	12	-8	88
40144856:	time lag;	2.30519	2.31098
40138f26:	dummy;	2.311922	12	-8	88
40144949:	time lag;	2.30561	2.31192
4013a390:	dummy;	2.312866	12	-8	88
40144a30:	time lag;	2.30686	2.31287
4013b7cc:	dummy;	2.313823	11	-9	87
40144b12:	time lag;	2.30809	2.31382
4013cbf7:	dummy;	2.31478	10	-10	86
40144bf1:	time lag;	2.30932	2.31478
4013e08b:	dummy;	2.315736	9	-11	85
40144ccb:	time lag;	2.31058	2.31574
4013e0f8:	dummy;	2.316692	8	-12	84
40144da5:	time lag;	2.31061	2.31669
4013f1bf:	dummy;	2.317645	8	-12	84
40144e7f:	time lag;	2.31163	2.31765
401405ab:	dummy;	2.318589	8	-12	84
40144f55:	time lag;	2.31285	2.31859
40141c86:	dummy;	2.319545	8	-12	84
4014d899:	time lag;	2.31424	2.31955
40142bf1:	dummy;	2.3205	8	-12	84
4014d9dc:	time lag;	2.31518	2.32050
401440bc:	dummy;	2.321455	8	-12	84
4014db05:	time lag;	2.31645	2.32145
40145309:	dummy;	2.322412	8	-12	84
4014dbf5:	time lag;	2.31757	2.32241
4014536d:	dummy;	2.323369	8	-12	84
4014dcd7:	time lag;	2.31759	2.32337
4014657c:	dummy;	2.324325	8	-12	84
4014ddb5:	time lag;	2.31869	2.32432
401479d9:	dummy;	2.325282	8	-12	84
4014de8f:	time lag;	2.31994	2.32528
40148d82:	dummy;	2.32624	8	-12	84
4014df6e:	time lag;	2.32114	2.32624
4014a112:	dummy;	2.327196	8	-12	84
4014e048:	time lag;	2.32233	2.32720
4014b3e1:	dummy;	2.328152	8	-12	84
40156866:	time lag;	2.32348	2.32815
4014b420:	dummy;	2.329109	7	-10	85
40156990:	time lag;	2.32349	2.32911
4014b439:	dummy;	2.330066	6	-8	86
40156a8c:	time lag;	2.32350	2.33007
4014c858:	dummy;	2.331024	5	-6	87
40156b72:	time lag;	2.32473	2.33102
4014dcc2:	dummy;	2.331976	4	-4	88
40156c55:	time lag;	2.32597	2.33198
4014f0ed:	dummy;	2.332921	4	-4	88
40156d33:	time lag;	2.32720	2.33292
40150492:	dummy;	2.333864	4	-4	88
40156e11:	time lag;	2.32840	2.33386
4015177f:	dummy;	2.334821	4	-4	88
40156ee7:	time lag;	2.32956	2.33482
401517f0:	dummy;	2.335776	4	-4	88
40156fc1:	time lag;	2.32959	2.33578
4015298d:	dummy;	2.336732	4	-4	88
40157097:	time lag;	2.33066	2.33673
40153dc9:	dummy;	2.337687	4	-4	88
4016008f:	time lag;	2.33190	2.33769
40154fe3:	dummy;	2.33864	4	-4	88
401601ac:	time lag;	2.33300	2.33864
40156384:	dummy;	2.339582	4	-4	88
401602a3:	time lag;	2.33420	2.33958
4015778e:	dummy;	2.340537	4	-4	88
4016038a:	time lag;	2.33542	2.34054
401589ca:	dummy;	2.341492	4	-4	88
4016046c:	time lag;	2.33653	2.34149
40158a37:	dummy;	2.342447	4	-4	88
40160547:	time lag;	2.33656	2.34245
40159b0b:	dummy;	2.343403	4	-4	88
40160653:	time lag;	2.33759	2.34340
4015ace7:	dummy;	2.344359	4	-4	88
4016073a:	time lag;	2.33868	2.34436
4015c144:	dummy;	2.345315	4	-5	88
40160818:	time lag;	2.33992	2.34531
4015d56f:	dummy;	2.34627	4	-6	88
401692e6:	time lag;	2.34115	2.34627
4015e771:	dummy;	2.347226	4	-7	88
40169403:	time lag;	2.34225	2.34723
4015fc37:	dummy;	2.348182	4	-8	88
401694fb:	time lag;	2.34352	2.34818
4015fca8:	dummy;	2.349138	4	-8	88
401695e6:	time lag;	2.34355	2.34914
40160e88:	dummy;	2.350094	4	-8	88
401696c8:	time lag;	2.34464	2.35009
40160efe:	dummy;	2.351051	4	-8	88
401697a6:	time lag;	2.34467	2.35105
401621ea:	dummy;	2.352002	4	-8	88
40169881:	time lag;	2.34582	2.35200
40163572:	dummy;	2.352947	4	-8	88
4016995b:	time lag;	2.34701	2.35295
40166690:	dummy;	2.353898	4	-8	88
40171c04:	time lag;	2.35001	2.35390
4016671b:	dummy;	2.354841	4	-8	88
40171d1d:	time lag;	2.35004	2.35484
40166f33:	dummy;	2.355796	4	-8	88
40171e11:	time lag;	2.35054	2.35580
40166fa8:	dummy;	2.356752	4	-8	88
40171ef7:	time lag;	2.35056	2.35675
40168195:	dummy;	2.357707	4	-8	88
40171fd6:	time lag;	2.35166	2.35771
4016923a:	dummy;	2.35866	4	-8	88
401720b0:	time lag;	2.35267	2.35866
4016a6b9:	dummy;	2.359602	4	-8	88
4017218a:	time lag;	2.35393	2.35960
4016bb51:	dummy;	2.360558	4	-8	86
40172260:	time lag;	2.35518	2.36056
4016ccaf:	dummy;	2.361513	4	-8	84
401723a7:	time lag;	2.35624	2.36151
4016e282:	dummy;	2.362468	4	-8	82
40172568:	time lag;	2.35757	2.36247
4016e2fc:	dummy;	2.363424	4	-8	80
40172691:	time lag;	2.35760	2.36342
4016f3d4:	dummy;	2.36438	4	-8	80
4017b4d5:	time lag;	2.35863	2.36438
40170920:	dummy;	2.365336	4	-8	80
4017b66b:	time lag;	2.35993	2.36534
40171d5c:	dummy;	2.366291	4	-8	80
4017b76f:	time lag;	2.36117	2.36629
401730f9:	dummy;	2.367249	4	-8	80
4017b85a:	time lag;	2.36236	2.36725
40174567:	dummy;	2.368203	4	-8	80
4017b93d:	time lag;	2.36361	2.36820
401745cc:	dummy;	2.36916	4	-8	80
4017ba17:	time lag;	2.36364	2.36916
401756b0:	dummy;	2.370115	4	-8	80
4017baf5:	time lag;	2.36467	2.37012
40176b44:	dummy;	2.371072	4	-8	80
4017bbe0:	time lag;	2.36592	2.37107
40176bba:	dummy;	2.372029	4	-8	80
4017bcbe:	time lag;	2.36595	2.37203
401789f0:	dummy;	2.37298	4	-8	80
40183c97:	time lag;	2.36779	2.37298
401791ff:	dummy;	2.373919	4	-8	80
40183db4:	time lag;	2.36829	2.37392
4017a611:	dummy;	2.374861	4	-8	80
40183eab:	time lag;	2.36951	2.37486
4017a67f:	dummy;	2.375818	4	-8	80
40183f92:	time lag;	2.36954	2.37582
4017b830:	dummy;	2.376773	5	-7	82
40184074:	time lag;	2.37062	2.37677
4017c9ef:	dummy;	2.377729	6	-6	84
4018414e:	time lag;	2.37170	2.37773
4017de8f:	dummy;	2.378684	7	-5	86
4018422d:	time lag;	2.37296	2.37868
4017f2e5:	dummy;	2.379637	8	-4	88
40184307:	time lag;	2.37420	2.37964
40181038:	dummy;	2.38058	8	-4	88
4018d29a:	time lag;	2.37599	2.38058
40181661:	dummy;	2.381534	8	-4	88
4018d3b3:	time lag;	2.37637	2.38153
40182a56:	dummy;	2.382489	8	-4	88
4018d4a6:	time lag;	2.37758	2.38249
40182ac7:	dummy;	2.383444	8	-4	88
4018d58d:	time lag;	2.37761	2.38344
40183c10:	dummy;	2.3844	8	-4	88
4018d66b:	time lag;	2.37867	2.38440
40184fe3:	dummy;	2.385355	8	-4	88
4018d749:	time lag;	2.37988	2.38536
40186413:	dummy;	2.38631	8	-4	88
4018d823:	time lag;	2.38111	2.38631
401877d5:	dummy;	2.387265	8	-4	88
4018d930:	time lag;	2.38231	2.38727
40188be3:	dummy;	2.388222	8	-4	88
4018da12:	time lag;	2.38354	2.38822
40188c58:	dummy;	2.389179	8	-4	88
4018dae8:	time lag;	2.38357	2.38918
4018a81a:	dummy;	2.390134	8	-4	88
40195b70:	time lag;	2.38526	2.39013
4018b189:	dummy;	2.39109	8	-4	88
40195c8e:	time lag;	2.38584	2.39109
4018b1fb:	dummy;	2.392046	9	-5	86
40195d85:	time lag;	2.38586	2.39205
4018c3c2:	dummy;	2.392999	10	-6	84
40195e70:	time lag;	2.38695	2.39300
4018d83c:	dummy;	2.393945	11	-7	82
40195f57:	time lag;	2.38820	2.39394
4018ebd5:	dummy;	2.394897	12	-8	80
40196078:	time lag;	2.38939	2.39490
40190043:	dummy;	2.395841	12	-8	80
4019615b:	time lag;	2.39064	2.39584
401900a8:	dummy;	2.396797	12	-8	80
40196235:	time lag;	2.39067	2.39680
40191117:	dummy;	2.397753	12	-8	80
4019630f:	time lag;	2.39167	2.39775
40192468:	dummy;	2.398709	12	-8	80
401963e9:	time lag;	2.39285	2.39871
401936eb:	dummy;	2.399666	12	-8	80
4019e74b:	time lag;	2.39398	2.39967
40194b99:	dummy;	2.400605	12	-8	80
4019e871:	time lag;	2.39524	2.40061
40196067:	dummy;	2.401562	12	-8	80
4019e964:	time lag;	2.39651	2.40156
401960dd:	dummy;	2.402518	12	-8	80
4019ea4b:	time lag;	2.39654	2.40252
401972de:	dummy;	2.403474	12	-8	80
4019eb29:	time lag;	2.39764	2.40347
40198440:	dummy;	2.40443	12	-8	80
4019ec07:	time lag;	2.39870	2.40443
