bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3e0dc7f0:	dummy;	0.143468	8	-16	88
3e135eb0:	time lag;	0.13846	0.14347
3e0ee070:	dummy;	0.144425	8	-16	88
3e137720:	time lag;	0.13953	0.14442
3e0ee3d0:	dummy;	0.145382	8	-16	88
3e138710:	time lag;	0.13954	0.14538
3e105710:	dummy;	0.14634	8	-16	88
3e1c21a0:	time lag;	0.14096	0.14634
3e112400:	dummy;	0.147297	8	-16	88
3e1c3540:	time lag;	0.14174	0.14730
3e123ab0:	dummy;	0.148253	8	-16	88
3e1c4f00:	time lag;	0.14280	0.14825
3e136150:	dummy;	0.14921	8	-16	88
3e1c68f0:	time lag;	0.14393	0.14921
3e1363f0:	dummy;	0.150167	8	-16	88
3e1c7a40:	time lag;	0.14394	0.15017
3e1498c0:	dummy;	0.151126	8	-16	88
3e1c89b0:	time lag;	0.14511	0.15113
3e15b100:	dummy;	0.152078	8	-16	88
3e1c9820:	time lag;	0.14618	0.15208
3e16d6e0:	dummy;	0.153024	8	-16	88
3e1ca600:	time lag;	0.14730	0.15302
3e181f50:	dummy;	0.153968	7	-13	88
3e1cb3a0:	time lag;	0.14856	0.15397
3e1823d0:	dummy;	0.154925	6	-10	88
3e1cc1d0:	time lag;	0.14857	0.15493
3e199280:	dummy;	0.155881	5	-7	88
3e250a00:	time lag;	0.14997	0.15588
3e1a43c0:	dummy;	0.156837	4	-4	88
3e251bd0:	time lag;	0.15065	0.15684
3e1b6a20:	dummy;	0.157793	4	-4	88
3e252b10:	time lag;	0.15177	0.15779
3e1ca2e0:	dummy;	0.158746	4	-4	88
3e253c50:	time lag;	0.15297	0.15875
3e1dcf00:	dummy;	0.159689	4	-4	88
3e254b00:	time lag;	0.15411	0.15969
3e1efe10:	dummy;	0.160645	4	-4	88
3e255930:	time lag;	0.15527	0.16065
3e203000:	dummy;	0.161601	4	-4	88
3e256710:	time lag;	0.15643	0.16160
3e214f90:	dummy;	0.162556	4	-4	88
3e2574b0:	time lag;	0.15753	0.16256
3e2152f0:	dummy;	0.163513	4	-4	88
3e258360:	time lag;	0.15754	0.16351
3e2277c0:	dummy;	0.164469	4	-4	88
3e2dc480:	time lag;	0.15866	0.16447
3e239f30:	dummy;	0.165424	4	-4	88
3e2dd720:	time lag;	0.15979	0.16542
3e260910:	dummy;	0.166381	4	-4	88
3e2de6a0:	time lag;	0.16214	0.16638
3e260c40:	dummy;	0.167337	4	-4	88
3e2df550:	time lag;	0.16216	0.16734
3e273a30:	dummy;	0.168294	4	-4	88
3e2e0370:	time lag;	0.16331	0.16829
3e2881a0:	dummy;	0.169249	4	-4	88
3e2e11e0:	time lag;	0.16456	0.16925
3e288760:	dummy;	0.170205	4	-4	87
3e2e2000:	time lag;	0.16458	0.17020
3e289a40:	dummy;	0.171162	4	-4	86
3e2e2df0:	time lag;	0.16465	0.17116
3e298290:	dummy;	0.172121	4	-4	85
3e2e3c50:	time lag;	0.16554	0.17212
3e2b0d50:	dummy;	0.173072	4	-4	84
3e36fe30:	time lag;	0.16704	0.17307
3e2bc5e0:	dummy;	0.174023	4	-4	84
3e370ef0:	time lag;	0.16775	0.17402
3e2cdd90:	dummy;	0.174966	4	-4	84
3e371d20:	time lag;	0.16881	0.17497
3e2dffc0:	dummy;	0.175923	4	-4	84
3e372a40:	time lag;	0.16992	0.17592
3e2f2e90:	dummy;	0.176878	4	-4	84
3e3736d0:	time lag;	0.17108	0.17688
3e305d10:	dummy;	0.177835	4	-4	84
3e374360:	time lag;	0.17223	0.17783
3e317440:	dummy;	0.17879	4	-4	84
3e374fb0:	time lag;	0.17330	0.17879
3e32a390:	dummy;	0.179742	4	-4	84
3e375c00:	time lag;	0.17445	0.17974
3e342c00:	dummy;	0.180686	4	-4	84
3e401c50:	time lag;	0.17595	0.18069
3e343030:	dummy;	0.181641	4	-4	84
3e402ef0:	time lag;	0.17597	0.18164
3e34bf90:	dummy;	0.182597	4	-4	84
3e403de0:	time lag;	0.17651	0.18260
3e35e140:	dummy;	0.183552	4	-4	84
3e404bc0:	time lag;	0.17762	0.18355
3e370500:	dummy;	0.184509	4	-4	84
3e4058e0:	time lag;	0.17873	0.18451
